"","State","StateFIPS","CountyFIPS","AreaName","Insurance Coverage"
"1129","AR",5,45,"Faulkner County, Arkansas",118057
"1130","AR",5,47,"Franklin County, Arkansas",17580
"1131","AR",5,49,"Fulton County, Arkansas",12040
"1132","AR",5,51,"Garland County, Arkansas",95661
"1133","AR",5,53,"Grant County, Arkansas",17897
"1134","AR",5,55,"Greene County, Arkansas",42896
"1135","AR",5,57,"Hempstead County, Arkansas",22092
"1136","AR",5,59,"Hot Spring County, Arkansas",31416
"1137","AR",5,61,"Howard County, Arkansas",13377
"1138","AR",5,63,"Independence County, Arkansas",36451
"1139","AR",5,65,"Izard County, Arkansas",12687
"1140","AR",5,67,"Jackson County, Arkansas",14285
"1141","AR",5,69,"Jefferson County, Arkansas",69255
"1142","AR",5,71,"Johnson County, Arkansas",25728
"1143","AR",5,73,"Lafayette County, Arkansas",7138
"1144","AR",5,75,"Lawrence County, Arkansas",16715
"1145","AR",5,77,"Lee County, Arkansas",8457
"1146","AR",5,79,"Lincoln County, Arkansas",9818
"1147","AR",5,81,"Little River County, Arkansas",12559
"1148","AR",5,83,"Logan County, Arkansas",21753
"1149","AR",5,85,"Lonoke County, Arkansas",69105
"1150","AR",5,87,"Madison County, Arkansas",15631
"1151","AR",5,89,"Marion County, Arkansas",16304
"1152","AR",5,91,"Miller County, Arkansas",42456
"1153","AR",5,93,"Mississippi County, Arkansas",44030
"1154","AR",5,95,"Monroe County, Arkansas",7636
"1155","AR",5,97,"Montgomery County, Arkansas",9056
"1156","AR",5,99,"Nevada County, Arkansas",8594
"1157","AR",5,101,"Newton County, Arkansas",7996
"1158","AR",5,103,"Ouachita County, Arkansas",24648
"1159","AR",5,105,"Perry County, Arkansas",10178
"1160","AR",5,107,"Phillips County, Arkansas",20206
"1161","AR",5,109,"Pike County, Arkansas",10934
"1162","AR",5,111,"Poinsett County, Arkansas",23888
"1163","AR",5,113,"Polk County, Arkansas",20226
"1164","AR",5,115,"Pope County, Arkansas",62188
"1165","AR",5,117,"Prairie County, Arkansas",8252
"1166","AR",5,119,"Pulaski County, Arkansas",384831
"1167","AR",5,121,"Randolph County, Arkansas",17350
"1168","AR",5,123,"St. Francis County, Arkansas",23723
"1169","AR",5,125,"Saline County, Arkansas",112566
"1170","AR",5,127,"Scott County, Arkansas",10797
"1171","AR",5,129,"Searcy County, Arkansas",7876
"1172","AR",5,131,"Sebastian County, Arkansas",126151
"1173","AR",5,133,"Sevier County, Arkansas",17080
"1174","AR",5,135,"Sharp County, Arkansas",16877
"1175","AR",5,137,"Stone County, Arkansas",12406
"1176","AR",5,139,"Union County, Arkansas",40232
"1177","AR",5,141,"Van Buren County, Arkansas",16806
"1178","AR",5,143,"Washington County, Arkansas",214640
"1179","AR",5,145,"White County, Arkansas",78043
"1180","AR",5,147,"Woodruff County, Arkansas",6863
"1181","AR",5,149,"Yell County, Arkansas",21538
"1761","AZ",4,1,"Apache County, Arizona",71338
"1762","AZ",4,3,"Cochise County, Arizona",116692
"1763","AZ",4,5,"Coconino County, Arizona",135969
"1764","AZ",4,7,"Gila County, Arizona",52434
"1765","AZ",4,9,"Graham County, Arizona",33419
"1766","AZ",4,11,"Greenlee County, Arizona",8983
"1767","AZ",4,12,"La Paz County, Arizona",20108
"1768","AZ",4,13,"Maricopa County, Arizona",3988822
"1769","AZ",4,15,"Mohave County, Arizona",196922
"1770","AZ",4,17,"Navajo County, Arizona",105475
"1771","AZ",4,19,"Pima County, Arizona",980005
"1772","AZ",4,21,"Pinal County, Arizona",367032
"1773","AZ",4,23,"Santa Cruz County, Arizona",46827
"1774","AZ",4,25,"Yavapai County, Arizona",214510
"1775","AZ",4,27,"Yuma County, Arizona",194973
"2259","CA",6,1,"Alameda County, California",1573351
"2260","CA",6,3,"Alpine County, California",1131
"2261","CA",6,5,"Amador County, California",32880
"2262","CA",6,7,"Butte County, California",220313
"2263","CA",6,9,"Calaveras County, California",44382
"2264","CA",6,11,"Colusa County, California",21205
"2265","CA",6,13,"Contra Costa County, California",1090556
"2266","CA",6,15,"Del Norte County, California",24021
"2267","CA",6,17,"El Dorado County, California",181005
"2268","CA",6,19,"Fresno County, California",945353
"2269","CA",6,21,"Glenn County, California",27732
"2270","CA",6,23,"Humboldt County, California",133962
"2271","CA",6,25,"Imperial County, California",167772
"2272","CA",6,27,"Inyo County, California",17934
"2273","CA",6,29,"Kern County, California",836745
"2274","CA",6,31,"Kings County, California",130496
"2275","CA",6,33,"Lake County, California",63470
"2276","CA",6,35,"Lassen County, California",21971
"2277","CA",6,37,"Los Angeles County, California",9968960
"2278","CA",6,39,"Madera County, California",144677
"2279","CA",6,41,"Marin County, California",253123
"2280","CA",6,43,"Mariposa County, California",17616
"2281","CA",6,45,"Mendocino County, California",86622
"2282","CA",6,47,"Merced County, California",260892
"2283","CA",6,49,"Modoc County, California",8940
"2284","CA",6,51,"Mono County, California",14072
"2285","CA",6,53,"Monterey County, California",410004
"2286","CA",6,55,"Napa County, California",138394
"2287","CA",6,57,"Nevada County, California",97618
"2288","CA",6,59,"Orange County, California",3098794
"2289","CA",6,61,"Placer County, California",363472
"2290","CA",6,63,"Plumas County, California",18802
"2291","CA",6,65,"Riverside County, California",2275526
"2292","CA",6,67,"Sacramento County, California",1449885
"2293","CA",6,69,"San Benito County, California",57395
"2294","CA",6,71,"San Bernardino County, California",2050107
"2295","CA",6,73,"San Diego County, California",3123555
"2296","CA",6,75,"San Francisco County, California",836167
"2297","CA",6,77,"San Joaquin County, California",699892
"2298","CA",6,79,"San Luis Obispo County, California",269580
"2299","CA",6,81,"San Mateo County, California",744848
"2300","CA",6,83,"Santa Barbara County, California",428774
"2301","CA",6,85,"Santa Clara County, California",1859170
"2302","CA",6,87,"Santa Cruz County, California",268005
"2303","CA",6,89,"Shasta County, California",177567
"2304","CA",6,91,"Sierra County, California",2991
"2305","CA",6,93,"Siskiyou County, California",43702
"2306","CA",6,95,"Solano County, California",412693
"2307","CA",6,97,"Sonoma County, California",490858
"2308","CA",6,99,"Stanislaus County, California",524038
