"","State","StateFIPS","CountyFIPS","AreaName","Insurance Coverage"
"5966","GA",13,293,"Upson County, Georgia",25954
"5967","GA",13,295,"Walker County, Georgia",66989
"5968","GA",13,297,"Walton County, Georgia",85471
"5969","GA",13,299,"Ware County, Georgia",33373
"5970","GA",13,301,"Warren County, Georgia",5483
"5971","GA",13,303,"Washington County, Georgia",19175
"5972","GA",13,305,"Wayne County, Georgia",27877
"5973","GA",13,307,"Webster County, Georgia",2715
"5974","GA",13,309,"Wheeler County, Georgia",4349
"5975","GA",13,311,"White County, Georgia",27592
"5976","GA",13,313,"Whitfield County, Georgia",102695
"5977","GA",13,315,"Wilcox County, Georgia",6939
"5978","GA",13,317,"Wilkes County, Georgia",9818
"5979","GA",13,319,"Wilkinson County, Georgia",9287
"5980","GA",13,321,"Worth County, Georgia",20992
"6669","HI",15,1,"Hawaii County, Hawaii",190327
"6670","HI",15,3,"Honolulu County, Hawaii",933710
"6671","HI",15,5,"Kalawao County, Hawaii",75
"6672","HI",15,7,"Kauai County, Hawaii",68903
"6673","HI",15,9,"Maui County, Hawaii",159335
"6843","IA",19,1,"Adair County, Iowa",7287
"6844","IA",19,3,"Adams County, Iowa",3822
"6845","IA",19,5,"Allamakee County, Iowa",13753
"6846","IA",19,7,"Appanoose County, Iowa",12538
"6847","IA",19,9,"Audubon County, Iowa",5719
"6848","IA",19,11,"Benton County, Iowa",25566
"6849","IA",19,13,"Black Hawk County, Iowa",131212
"6850","IA",19,15,"Boone County, Iowa",25769
"6851","IA",19,17,"Bremer County, Iowa",24176
"6852","IA",19,19,"Buchanan County, Iowa",20745
"6853","IA",19,21,"Buena Vista County, Iowa",20234
"6854","IA",19,23,"Butler County, Iowa",14705
"6855","IA",19,25,"Calhoun County, Iowa",9381
"6856","IA",19,27,"Carroll County, Iowa",20266
"6857","IA",19,29,"Cass County, Iowa",13329
"6858","IA",19,31,"Cedar County, Iowa",18133
"6859","IA",19,33,"Cerro Gordo County, Iowa",42822
"6860","IA",19,35,"Cherokee County, Iowa",11460
"6861","IA",19,37,"Chickasaw County, Iowa",12116
"6862","IA",19,39,"Clarke County, Iowa",9142
"6863","IA",19,41,"Clay County, Iowa",16255
"6864","IA",19,43,"Clayton County, Iowa",17569
"6865","IA",19,45,"Clinton County, Iowa",47870
"6866","IA",19,47,"Crawford County, Iowa",17051
"6867","IA",19,49,"Dallas County, Iowa",74382
"6868","IA",19,51,"Davis County, Iowa",8627
"6869","IA",19,53,"Decatur County, Iowa",8140
"6870","IA",19,55,"Delaware County, Iowa",17342
"6871","IA",19,57,"Des Moines County, Iowa",39707
"6872","IA",19,59,"Dickinson County, Iowa",16758
"6873","IA",19,61,"Dubuque County, Iowa",94656
"6874","IA",19,63,"Emmet County, Iowa",9645
"6875","IA",19,65,"Fayette County, Iowa",20234
"6876","IA",19,67,"Floyd County, Iowa",15841
"6877","IA",19,69,"Franklin County, Iowa",10336
"6878","IA",19,71,"Fremont County, Iowa",6983
"6879","IA",19,73,"Greene County, Iowa",9059
"6880","IA",19,75,"Grundy County, Iowa",12255
"6881","IA",19,77,"Guthrie County, Iowa",10602
"6882","IA",19,79,"Hamilton County, Iowa",15093
"6883","IA",19,81,"Hancock County, Iowa",10940
"6884","IA",19,83,"Hardin County, Iowa",16849
"6885","IA",19,85,"Harrison County, Iowa",14218
"6886","IA",19,87,"Henry County, Iowa",18884
"6887","IA",19,89,"Howard County, Iowa",9320
"6888","IA",19,91,"Humboldt County, Iowa",9557
"6889","IA",19,93,"Ida County, Iowa",6942
"6890","IA",19,95,"Iowa County, Iowa",16095
"6891","IA",19,97,"Jackson County, Iowa",19381
"6892","IA",19,99,"Jasper County, Iowa",35023
"6893","IA",19,101,"Jefferson County, Iowa",17173
"6894","IA",19,103,"Johnson County, Iowa",137748
"6895","IA",19,105,"Jones County, Iowa",19236
"6896","IA",19,107,"Keokuk County, Iowa",10168
"6897","IA",19,109,"Kossuth County, Iowa",15022
"6898","IA",19,111,"Lee County, Iowa",34700
"6899","IA",19,113,"Linn County, Iowa",214649
"6900","IA",19,115,"Louisa County, Iowa",11141
"6901","IA",19,117,"Lucas County, Iowa",8598
"6902","IA",19,119,"Lyon County, Iowa",11553
"6903","IA",19,121,"Madison County, Iowa",15457
"6904","IA",19,123,"Mahaska County, Iowa",22162
"6905","IA",19,125,"Marion County, Iowa",32999
"6906","IA",19,127,"Marshall County, Iowa",39971
"6907","IA",19,129,"Mills County, Iowa",14622
"6908","IA",19,131,"Mitchell County, Iowa",10545
"6909","IA",19,133,"Monona County, Iowa",8876
"6910","IA",19,135,"Monroe County, Iowa",7866
"6911","IA",19,137,"Montgomery County, Iowa",10272
"6912","IA",19,139,"Muscatine County, Iowa",42430
"6913","IA",19,141,"O'Brien County, Iowa",13886
"6914","IA",19,143,"Osceola County, Iowa",6107
"6915","IA",19,145,"Page County, Iowa",14734
"6916","IA",19,147,"Palo Alto County, Iowa",9005
"6917","IA",19,149,"Plymouth County, Iowa",24561
"6918","IA",19,151,"Pocahontas County, Iowa",6967
"6919","IA",19,153,"Polk County, Iowa",447444
"6920","IA",19,155,"Pottawattamie County, Iowa",92061
"6921","IA",19,157,"Poweshiek County, Iowa",18388
"6922","IA",19,159,"Ringgold County, Iowa",4874
"6923","IA",19,161,"Sac County, Iowa",9907
"6924","IA",19,163,"Scott County, Iowa",168281
"6925","IA",19,165,"Shelby County, Iowa",11770
"6926","IA",19,167,"Sioux County, Iowa",34084
"6927","IA",19,169,"Story County, Iowa",92861
"6928","IA",19,171,"Tama County, Iowa",17098
"6929","IA",19,173,"Taylor County, Iowa",6111
"6930","IA",19,175,"Union County, Iowa",12435
"6931","IA",19,177,"Van Buren County, Iowa",7365
"6932","IA",19,179,"Wapello County, Iowa",34926
"6933","IA",19,181,"Warren County, Iowa",46957
"6934","IA",19,183,"Washington County, Iowa",21694
"6935","IA",19,185,"Wayne County, Iowa",6282
"6936","IA",19,187,"Webster County, Iowa",35536
"6937","IA",19,189,"Winnebago County, Iowa",10395
"6938","IA",19,191,"Winneshiek County, Iowa",20604
"6939","IA",19,193,"Woodbury County, Iowa",101578
"6940","IA",19,195,"Worth County, Iowa",7462
"6941","IA",19,197,"Wright County, Iowa",12757
"7990","ID",16,1,"Ada County, Idaho",411477
"7991","ID",16,3,"Adams County, Idaho",3848
"7992","ID",16,5,"Bannock County, Idaho",82294
"7993","ID",16,7,"Bear Lake County, Idaho",5900
"7994","ID",16,9,"Benewah County, Idaho",9002
"7995","ID",16,11,"Bingham County, Idaho",45141
"7996","ID",16,13,"Blaine County, Idaho",21283
"7997","ID",16,15,"Boise County, Idaho",6857
"7998","ID",16,17,"Bonner County, Idaho",40722
"7999","ID",16,19,"Bonneville County, Idaho",106589
"8000","ID",16,21,"Boundary County, Idaho",10889
"8001","ID",16,23,"Butte County, Idaho",2616
"8002","ID",16,25,"Camas County, Idaho",1052
"8003","ID",16,27,"Canyon County, Idaho",197420
"8004","ID",16,29,"Caribou County, Idaho",6718
"8005","ID",16,31,"Cassia County, Idaho",22988
"8006","ID",16,33,"Clark County, Idaho",901
"8007","ID",16,35,"Clearwater County, Idaho",7522
"8008","ID",16,37,"Custer County, Idaho",4202
"8009","ID",16,39,"Elmore County, Idaho",23910
"8010","ID",16,41,"Franklin County, Idaho",12868
"8011","ID",16,43,"Fremont County, Idaho",12342
"8012","ID",16,45,"Gem County, Idaho",16590
"8013","ID",16,47,"Gooding County, Idaho",15150
"8014","ID",16,49,"Idaho County, Idaho",15788
"8015","ID",16,51,"Jefferson County, Idaho",26733
"8016","ID",16,53,"Jerome County, Idaho",22532
"8017","ID",16,55,"Kootenai County, Idaho",143753
"8018","ID",16,57,"Latah County, Idaho",38173
"8019","ID",16,59,"Lemhi County, Idaho",7699
"8020","ID",16,61,"Lewis County, Idaho",3758
"8021","ID",16,63,"Lincoln County, Idaho",5221
"8022","ID",16,65,"Madison County, Idaho",37715
"8023","ID",16,67,"Minidoka County, Idaho",20180
"8024","ID",16,69,"Nez Perce County, Idaho",39094
"8025","ID",16,71,"Oneida County, Idaho",4212
"8026","ID",16,73,"Owyhee County, Idaho",11224
"8027","ID",16,75,"Payette County, Idaho",22548
"8028","ID",16,77,"Power County, Idaho",7666
"8029","ID",16,79,"Shoshone County, Idaho",12370
"8030","ID",16,81,"Teton County, Idaho",10285
"8031","ID",16,83,"Twin Falls County, Idaho",79068
"8032","ID",16,85,"Valley County, Idaho",9637
"8033","ID",16,87,"Washington County, Idaho",9887
"8291","IL",17,1,"Adams County, Illinois",65791
"8292","IL",17,3,"Alexander County, Illinois",7124
"8293","IL",17,5,"Bond County, Illinois",16229
"8294","IL",17,7,"Boone County, Illinois",53533
"8295","IL",17,9,"Brown County, Illinois",5191
"8296","IL",17,11,"Bureau County, Illinois",33724
"8297","IL",17,13,"Calhoun County, Illinois",4919
"8298","IL",17,15,"Carroll County, Illinois",14749
"8299","IL",17,17,"Cass County, Illinois",13094
"8300","IL",17,19,"Champaign County, Illinois",203872
"8301","IL",17,21,"Christian County, Illinois",32419
"8302","IL",17,23,"Clark County, Illinois",15928
"8303","IL",17,25,"Clay County, Illinois",13406
"8304","IL",17,27,"Clinton County, Illinois",36001
"8305","IL",17,29,"Coles County, Illinois",52349
"8306","IL",17,31,"Cook County, Illinois",5192597
"8307","IL",17,33,"Crawford County, Illinois",18161
"8308","IL",17,35,"Cumberland County, Illinois",10817
"8309","IL",17,37,"DeKalb County, Illinois",103520
"8310","IL",17,39,"De Witt County, Illinois",16149
"8311","IL",17,41,"Douglas County, Illinois",19670
"8312","IL",17,43,"DuPage County, Illinois",924581
"8313","IL",17,45,"Edgar County, Illinois",17722
"8314","IL",17,47,"Edwards County, Illinois",6615
"8315","IL",17,49,"Effingham County, Illinois",33927
"8316","IL",17,51,"Fayette County, Illinois",20497
"8317","IL",17,53,"Ford County, Illinois",13424
"8318","IL",17,55,"Franklin County, Illinois",39216
"8319","IL",17,57,"Fulton County, Illinois",34089
"8320","IL",17,59,"Gallatin County, Illinois",5385
"8321","IL",17,61,"Greene County, Illinois",13244
"8322","IL",17,63,"Grundy County, Illinois",50053
"8323","IL",17,65,"Hamilton County, Illinois",8241
"8324","IL",17,67,"Hancock County, Illinois",18572
"8325","IL",17,69,"Hardin County, Illinois",4193
"8326","IL",17,71,"Henderson County, Illinois",6977
"8327","IL",17,73,"Henry County, Illinois",49117
"8328","IL",17,75,"Iroquois County, Illinois",28596
"8329","IL",17,77,"Jackson County, Illinois",58832
"8330","IL",17,79,"Jasper County, Illinois",9572
"8331","IL",17,81,"Jefferson County, Illinois",36536
"8332","IL",17,83,"Jersey County, Illinois",22281
"8333","IL",17,85,"Jo Daviess County, Illinois",22245
"8334","IL",17,87,"Johnson County, Illinois",10939
"8335","IL",17,89,"Kane County, Illinois",521685
"8336","IL",17,91,"Kankakee County, Illinois",109894
"8337","IL",17,93,"Kendall County, Illinois",119786
"8338","IL",17,95,"Knox County, Illinois",49374
"8339","IL",17,97,"Lake County, Illinois",687664
"8340","IL",17,99,"LaSalle County, Illinois",109748
"8341","IL",17,101,"Lawrence County, Illinois",11161
"8342","IL",17,103,"Lee County, Illinois",32262
"8343","IL",17,105,"Livingston County, Illinois",33693
"8344","IL",17,107,"Logan County, Illinois",23997
"8345","IL",17,109,"McDonough County, Illinois",31636
"8346","IL",17,111,"McHenry County, Illinois",306094
"8347","IL",17,113,"McLean County, Illinois",171960
"8348","IL",17,115,"Macon County, Illinois",106773
"8349","IL",17,117,"Macoupin County, Illinois",46284
"8350","IL",17,119,"Madison County, Illinois",264937
"8351","IL",17,121,"Marion County, Illinois",37954
"8352","IL",17,123,"Marshall County, Illinois",11908
"8353","IL",17,125,"Mason County, Illinois",13933
"8354","IL",17,127,"Massac County, Illinois",14794
"8355","IL",17,129,"Menard County, Illinois",12450
"8356","IL",17,131,"Mercer County, Illinois",15851
"8357","IL",17,133,"Monroe County, Illinois",33249
"8358","IL",17,135,"Montgomery County, Illinois",23882
"8359","IL",17,137,"Morgan County, Illinois",33363
"8360","IL",17,139,"Moultrie County, Illinois",14605
"8361","IL",17,141,"Ogle County, Illinois",51896
"8362","IL",17,143,"Peoria County, Illinois",184842
"8363","IL",17,145,"Perry County, Illinois",19713
"8364","IL",17,147,"Piatt County, Illinois",16445
"8365","IL",17,149,"Pike County, Illinois",15611
"8366","IL",17,151,"Pope County, Illinois",4126
"8367","IL",17,153,"Pulaski County, Illinois",5863
"8368","IL",17,155,"Putnam County, Illinois",5816
"8369","IL",17,157,"Randolph County, Illinois",29941
"8370","IL",17,159,"Richland County, Illinois",15917
"8371","IL",17,161,"Rock Island County, Illinois",144775
"8372","IL",17,163,"St. Clair County, Illinois",261228
"8373","IL",17,165,"Saline County, Illinois",24235
"8374","IL",17,167,"Sangamon County, Illinois",196845
"8375","IL",17,169,"Schuyler County, Illinois",7232
"8376","IL",17,171,"Scott County, Illinois",5150
"8377","IL",17,173,"Shelby County, Illinois",21923
"8378","IL",17,175,"Stark County, Illinois",5758
"8379","IL",17,177,"Stephenson County, Illinois",45878
"8380","IL",17,179,"Tazewell County, Illinois",133362
"8381","IL",17,181,"Union County, Illinois",17398
"8382","IL",17,183,"Vermilion County, Illinois",78088
"8383","IL",17,185,"Wabash County, Illinois",11569
"8384","IL",17,187,"Warren County, Illinois",17508
"8385","IL",17,189,"Washington County, Illinois",14248
"8386","IL",17,191,"Wayne County, Illinois",16506
"8387","IL",17,193,"White County, Illinois",14130
"8388","IL",17,195,"Whiteside County, Illinois",56651
"8389","IL",17,197,"Will County, Illinois",677429
"8390","IL",17,199,"Williamson County, Illinois",65283
"8391","IL",17,201,"Winnebago County, Illinois",287276
"8392","IL",17,203,"Woodford County, Illinois",38548
"9824","IN",18,1,"Adams County, Indiana",34218
"9825","IN",18,3,"Allen County, Indiana",359824
"9826","IN",18,5,"Bartholomew County, Indiana",78566
"9827","IN",18,7,"Benton County, Indiana",8667
"9828","IN",18,9,"Blackford County, Indiana",12304
"9829","IN",18,11,"Boone County, Indiana",59913
"9830","IN",18,13,"Brown County, Indiana",14880
"9831","IN",18,15,"Carroll County, Indiana",19899
"9832","IN",18,17,"Cass County, Indiana",37820
"9833","IN",18,19,"Clark County, Indiana",111627
"9834","IN",18,21,"Clay County, Indiana",26366
"9835","IN",18,23,"Clinton County, Indiana",32184
"9836","IN",18,25,"Crawford County, Indiana",10532
"9837","IN",18,27,"Daviess County, Indiana",31951
"9838","IN",18,29,"Dearborn County, Indiana",49118
"9839","IN",18,31,"Decatur County, Indiana",25922
"9840","IN",18,33,"DeKalb County, Indiana",42076
"9841","IN",18,35,"Delaware County, Indiana",115861
"9842","IN",18,37,"Dubois County, Indiana",41495
"9843","IN",18,39,"Elkhart County, Indiana",198214
"9844","IN",18,41,"Fayette County, Indiana",23452
"9845","IN",18,43,"Floyd County, Indiana",74903
"9846","IN",18,45,"Fountain County, Indiana",16715
"9847","IN",18,47,"Franklin County, Indiana",22854
"9848","IN",18,49,"Fulton County, Indiana",20298
"9849","IN",18,51,"Gibson County, Indiana",33115
"9850","IN",18,53,"Grant County, Indiana",67943
"9851","IN",18,55,"Greene County, Indiana",32532
"9852","IN",18,57,"Hamilton County, Indiana",295067
"9853","IN",18,59,"Hancock County, Indiana",70706
"9854","IN",18,61,"Harrison County, Indiana",39023
"9855","IN",18,63,"Hendricks County, Indiana",150597
"9856","IN",18,65,"Henry County, Indiana",45929
"9857","IN",18,67,"Howard County, Indiana",81829
"9858","IN",18,69,"Huntington County, Indiana",36376
"9859","IN",18,71,"Jackson County, Indiana",42839
"9860","IN",18,73,"Jasper County, Indiana",33101
"9861","IN",18,75,"Jay County, Indiana",21039
"9862","IN",18,77,"Jefferson County, Indiana",31004
"9863","IN",18,79,"Jennings County, Indiana",27859
"9864","IN",18,81,"Johnson County, Indiana",143494
"9865","IN",18,83,"Knox County, Indiana",37249
"9866","IN",18,85,"Kosciusko County, Indiana",77233
"9867","IN",18,87,"LaGrange County, Indiana",37916
"9868","IN",18,89,"Lake County, Indiana",488067
"9869","IN",18,91,"LaPorte County, Indiana",102412
"9870","IN",18,93,"Lawrence County, Indiana",45141
"9871","IN",18,95,"Madison County, Indiana",125139
"9872","IN",18,97,"Marion County, Indiana",916471
"9873","IN",18,99,"Marshall County, Indiana",46483
"9874","IN",18,101,"Martin County, Indiana",10169
"9875","IN",18,103,"Miami County, Indiana",34162
"9876","IN",18,105,"Monroe County, Indiana",141477
"9877","IN",18,107,"Montgomery County, Indiana",37643
"9878","IN",18,109,"Morgan County, Indiana",68670
"9879","IN",18,111,"Newton County, Indiana",13854
"9880","IN",18,113,"Noble County, Indiana",46727
"9881","IN",18,115,"Ohio County, Indiana",5981
"9882","IN",18,117,"Orange County, Indiana",19472
"9883","IN",18,119,"Owen County, Indiana",21033
"9884","IN",18,121,"Parke County, Indiana",15579
"9885","IN",18,123,"Perry County, Indiana",17667
"9886","IN",18,125,"Pike County, Indiana",12463
"9887","IN",18,127,"Porter County, Indiana",165194
"9888","IN",18,129,"Posey County, Indiana",25316
"9889","IN",18,131,"Pulaski County, Indiana",12881
"9890","IN",18,133,"Putnam County, Indiana",34374
"9891","IN",18,135,"Randolph County, Indiana",25238
"9892","IN",18,137,"Ripley County, Indiana",28150
"9893","IN",18,139,"Rush County, Indiana",16804
"9894","IN",18,141,"St. Joseph County, Indiana",264729
"9895","IN",18,143,"Scott County, Indiana",23435
"9896","IN",18,145,"Shelby County, Indiana",43728
"9897","IN",18,147,"Spencer County, Indiana",20638
"9898","IN",18,149,"Starke County, Indiana",23112
"9899","IN",18,151,"Steuben County, Indiana",33987
"9900","IN",18,153,"Sullivan County, Indiana",18933
"9901","IN",18,155,"Switzerland County, Indiana",10388
"9902","IN",18,157,"Tippecanoe County, Indiana",179254
"9903","IN",18,159,"Tipton County, Indiana",15387
"9904","IN",18,161,"Union County, Indiana",7237
"9905","IN",18,163,"Vanderburgh County, Indiana",178797
"9906","IN",18,165,"Vermillion County, Indiana",15649
"9907","IN",18,167,"Vigo County, Indiana",103989
"9908","IN",18,169,"Wabash County, Indiana",31394
"9909","IN",18,171,"Warren County, Indiana",8275
"9910","IN",18,173,"Warrick County, Indiana",60254
"9911","IN",18,175,"Washington County, Indiana",27652
"9912","IN",18,177,"Wayne County, Indiana",66730
"9913","IN",18,179,"Wells County, Indiana",27231
"9914","IN",18,181,"White County, Indiana",24139
"9915","IN",18,183,"Whitley County, Indiana",32949
"10655","KS",20,1,"Allen County, Kansas",12876
"10656","KS",20,3,"Anderson County, Kansas",7794
"10657","KS",20,5,"Atchison County, Kansas",16457
"10658","KS",20,7,"Barber County, Kansas",4729
"10659","KS",20,9,"Barton County, Kansas",26988
"10660","KS",20,11,"Bourbon County, Kansas",14539
"10661","KS",20,13,"Brown County, Kansas",9809
"10662","KS",20,15,"Butler County, Kansas",64091
"10663","KS",20,17,"Chase County, Kansas",2602
"10664","KS",20,19,"Chautauqua County, Kansas",3443
"10665","KS",20,21,"Cherokee County, Kansas",20731
"10666","KS",20,23,"Cheyenne County, Kansas",2641
"10667","KS",20,25,"Clark County, Kansas",2085
"10668","KS",20,27,"Clay County, Kansas",8122
"10669","KS",20,29,"Cloud County, Kansas",9114
"10670","KS",20,31,"Coffey County, Kansas",8346
"10671","KS",20,33,"Comanche County, Kansas",1936
"10672","KS",20,35,"Cowley County, Kansas",34869
"10673","KS",20,37,"Crawford County, Kansas",38676
"10674","KS",20,39,"Decatur County, Kansas",2819
"10675","KS",20,41,"Dickinson County, Kansas",19032
"10676","KS",20,43,"Doniphan County, Kansas",7746
"10677","KS",20,45,"Douglas County, Kansas",114257
"10678","KS",20,47,"Edwards County, Kansas",2896
"10679","KS",20,49,"Elk County, Kansas",2635
"10680","KS",20,51,"Ellis County, Kansas",28717
"10681","KS",20,53,"Ellsworth County, Kansas",5399
"10682","KS",20,55,"Finney County, Kansas",36889
"10683","KS",20,57,"Ford County, Kansas",34244
"10684","KS",20,59,"Franklin County, Kansas",25591
"10685","KS",20,61,"Geary County, Kansas",31646
"10686","KS",20,63,"Gove County, Kansas",2681
"10687","KS",20,65,"Graham County, Kansas",2565
"10688","KS",20,67,"Grant County, Kansas",7737
"10689","KS",20,69,"Gray County, Kansas",5979
"10690","KS",20,71,"Greeley County, Kansas",1196
"10691","KS",20,73,"Greenwood County, Kansas",6303
"10692","KS",20,75,"Hamilton County, Kansas",2586
"10693","KS",20,77,"Harper County, Kansas",5703
"10694","KS",20,79,"Harvey County, Kansas",34201
"10695","KS",20,81,"Haskell County, Kansas",4077
"10696","KS",20,83,"Hodgeman County, Kansas",1904
"10697","KS",20,85,"Jackson County, Kansas",13272
"10698","KS",20,87,"Jefferson County, Kansas",18641
"10699","KS",20,89,"Jewell County, Kansas",3011
"10700","KS",20,91,"Johnson County, Kansas",562538
"10701","KS",20,93,"Kearny County, Kansas",3876
"10702","KS",20,95,"Kingman County, Kansas",7639
"10703","KS",20,97,"Kiowa County, Kansas",2467
"10704","KS",20,99,"Labette County, Kansas",20741
"10705","KS",20,101,"Lane County, Kansas",1665
"10706","KS",20,103,"Leavenworth County, Kansas",71129
"10707","KS",20,105,"Lincoln County, Kansas",3088
"10708","KS",20,107,"Linn County, Kansas",9458
"10709","KS",20,109,"Logan County, Kansas",2753
"10710","KS",20,111,"Lyon County, Kansas",33049
"10711","KS",20,113,"McPherson County, Kansas",28617
"10712","KS",20,115,"Marion County, Kansas",11948
"10713","KS",20,117,"Marshall County, Kansas",9818
"10714","KS",20,119,"Meade County, Kansas",4256
"10715","KS",20,121,"Miami County, Kansas",32096
"10716","KS",20,123,"Mitchell County, Kansas",6143
"10717","KS",20,125,"Montgomery County, Kansas",33643
"10718","KS",20,127,"Morris County, Kansas",5669
"10719","KS",20,129,"Morton County, Kansas",3014
"10720","KS",20,131,"Nemaha County, Kansas",9890
"10721","KS",20,133,"Neosho County, Kansas",16195
"10722","KS",20,135,"Ness County, Kansas",3020
"10723","KS",20,137,"Norton County, Kansas",4754
"10724","KS",20,139,"Osage County, Kansas",15874
"10725","KS",20,141,"Osborne County, Kansas",3677
"10726","KS",20,143,"Ottawa County, Kansas",5953
"10727","KS",20,145,"Pawnee County, Kansas",5900
"10728","KS",20,147,"Phillips County, Kansas",5383
"10729","KS",20,149,"Pottawatomie County, Kansas",22150
"10730","KS",20,151,"Pratt County, Kansas",9532
"10731","KS",20,153,"Rawlins County, Kansas",2504
"10732","KS",20,155,"Reno County, Kansas",61564
"10733","KS",20,157,"Republic County, Kansas",4708
"10734","KS",20,159,"Rice County, Kansas",9816
"10735","KS",20,161,"Riley County, Kansas",68323
"10736","KS",20,163,"Rooks County, Kansas",5029
"10737","KS",20,165,"Rush County, Kansas",3118
"10738","KS",20,167,"Russell County, Kansas",6864
"10739","KS",20,169,"Saline County, Kansas",54933
"10740","KS",20,171,"Scott County, Kansas",4847
"10741","KS",20,173,"Sedgwick County, Kansas",500080
"10742","KS",20,175,"Seward County, Kansas",23066
"10743","KS",20,177,"Shawnee County, Kansas",175531
"10744","KS",20,179,"Sheridan County, Kansas",2502
"10745","KS",20,181,"Sherman County, Kansas",6000
"10746","KS",20,183,"Smith County, Kansas",3682
"10747","KS",20,185,"Stafford County, Kansas",4212
"10748","KS",20,187,"Stanton County, Kansas",2113
"10749","KS",20,189,"Stevens County, Kansas",5698
"10750","KS",20,191,"Sumner County, Kansas",23155
"10751","KS",20,193,"Thomas County, Kansas",7809
"10752","KS",20,195,"Trego County, Kansas",2878
"10753","KS",20,197,"Wabaunsee County, Kansas",6894
"10754","KS",20,199,"Wallace County, Kansas",1577
"10755","KS",20,201,"Washington County, Kansas",5553
"10756","KS",20,203,"Wichita County, Kansas",2180
"10757","KS",20,205,"Wilson County, Kansas",8935
"10758","KS",20,207,"Woodson County, Kansas",3187
"10759","KS",20,209,"Wyandotte County, Kansas",159604
"11469","KY",21,1,"Adair County, Kentucky",18551
"11470","KY",21,3,"Allen County, Kentucky",20168
"11471","KY",21,5,"Anderson County, Kentucky",21651
"11472","KY",21,7,"Ballard County, Kentucky",8126
"11473","KY",21,9,"Barren County, Kentucky",42176
"11474","KY",21,11,"Bath County, Kentucky",11882
"11475","KY",21,13,"Bell County, Kentucky",27140
"11476","KY",21,15,"Boone County, Kentucky",123734
"11477","KY",21,17,"Bourbon County, Kentucky",19772
"11478","KY",21,19,"Boyd County, Kentucky",46805
"11479","KY",21,21,"Boyle County, Kentucky",28097
"11480","KY",21,23,"Bracken County, Kentucky",8381
"11481","KY",21,25,"Breathitt County, Kentucky",13444
"11482","KY",21,27,"Breckinridge County, Kentucky",19782
"11483","KY",21,29,"Bullitt County, Kentucky",76607
"11484","KY",21,31,"Butler County, Kentucky",12620
"11485","KY",21,33,"Caldwell County, Kentucky",12700
"11486","KY",21,35,"Calloway County, Kentucky",37664
"11487","KY",21,37,"Campbell County, Kentucky",90011
"11488","KY",21,39,"Carlisle County, Kentucky",4914
"11489","KY",21,41,"Carroll County, Kentucky",10593
"11490","KY",21,43,"Carter County, Kentucky",27012
"11491","KY",21,45,"Casey County, Kentucky",15623
"11492","KY",21,47,"Christian County, Kentucky",65166
"11493","KY",21,49,"Clark County, Kentucky",35232
"11494","KY",21,51,"Clay County, Kentucky",19644
"11495","KY",21,53,"Clinton County, Kentucky",10036
"11496","KY",21,55,"Crittenden County, Kentucky",9028
"11497","KY",21,57,"Cumberland County, Kentucky",6719
"11498","KY",21,59,"Daviess County, Kentucky",96432
"11499","KY",21,61,"Edmonson County, Kentucky",12008
"11500","KY",21,63,"Elliott County, Kentucky",6703
"11501","KY",21,65,"Estill County, Kentucky",14350
"11502","KY",21,67,"Fayette County, Kentucky",303006
"11503","KY",21,69,"Fleming County, Kentucky",14544
"11504","KY",21,71,"Floyd County, Kentucky",38090
"11505","KY",21,73,"Franklin County, Kentucky",48821
"11506","KY",21,75,"Fulton County, Kentucky",5992
"11507","KY",21,77,"Gallatin County, Kentucky",8457
"11508","KY",21,79,"Garrard County, Kentucky",16873
"11509","KY",21,81,"Grant County, Kentucky",24244
"11510","KY",21,83,"Graves County, Kentucky",37071
"11511","KY",21,85,"Grayson County, Kentucky",25601
"11512","KY",21,87,"Green County, Kentucky",11035
"11513","KY",21,89,"Greenup County, Kentucky",36053
"11514","KY",21,91,"Hancock County, Kentucky",8614
"11515","KY",21,93,"Hardin County, Kentucky",101722
"11516","KY",21,95,"Harlan County, Kentucky",27920
"11517","KY",21,97,"Harrison County, Kentucky",18444
"11518","KY",21,99,"Hart County, Kentucky",18187
"11519","KY",21,101,"Henderson County, Kentucky",45428
"11520","KY",21,103,"Henry County, Kentucky",15377
"11521","KY",21,105,"Hickman County, Kentucky",4520
"11522","KY",21,107,"Hopkins County, Kentucky",45509
"11523","KY",21,109,"Jackson County, Kentucky",13205
"11524","KY",21,111,"Jefferson County, Kentucky",747569
"11525","KY",21,113,"Jessamine County, Kentucky",49750
"11526","KY",21,115,"Johnson County, Kentucky",22907
"11527","KY",21,117,"Kenton County, Kentucky",161457
"11528","KY",21,119,"Knott County, Kentucky",15818
"11529","KY",21,121,"Knox County, Kentucky",31463
"11530","KY",21,123,"Larue County, Kentucky",13867
"11531","KY",21,125,"Laurel County, Kentucky",59011
"11532","KY",21,127,"Lawrence County, Kentucky",15709
"11533","KY",21,129,"Lee County, Kentucky",6294
"11534","KY",21,131,"Leslie County, Kentucky",10749
"11535","KY",21,133,"Letcher County, Kentucky",23480
"11536","KY",21,135,"Lewis County, Kentucky",13642
"11537","KY",21,137,"Lincoln County, Kentucky",24287
"11538","KY",21,139,"Livingston County, Kentucky",9332
"11539","KY",21,141,"Logan County, Kentucky",26580
"11540","KY",21,143,"Lyon County, Kentucky",7061
"11541","KY",21,145,"McCracken County, Kentucky",64261
