"","State","StateFIPS","CountyFIPS","AreaName","Total Population","Total Male","Total Female","Median Age","Median Age_Male","Median Age_Female"
"438","AL",1,49,"DeKalb County, Alabama",71068,35474,35594,"39.3","38.2","40.4"
"439","AL",1,51,"Elmore County, Alabama",80763,39362,41401,"37.9","36.7","39.1"
"440","AL",1,53,"Escambia County, Alabama",37935,19524,18411,"40.3","39.4","41.1"
"441","AL",1,55,"Etowah County, Alabama",103766,50207,53559,"40.8","39.3","42.2"
"442","AL",1,57,"Fayette County, Alabama",16896,8477,8419,"43.2","41.3","46.1"
"443","AL",1,59,"Franklin County, Alabama",31634,15311,16323,"38.8","36.8","39.9"
"444","AL",1,61,"Geneva County, Alabama",26815,13174,13641,"42.2","41.5","43.3"
"445","AL",1,63,"Greene County, Alabama",8697,4095,4602,"42.4","41.2","45.1"
"446","AL",1,65,"Hale County, Alabama",15256,7183,8073,"40.2","38.2","41.7"
"447","AL",1,67,"Henry County, Alabama",17252,8259,8993,"43.0","41.7","45.1"
"448","AL",1,69,"Houston County, Alabama",103534,49563,53971,"39.0","37.6","40.5"
