"","State","StateFIPS","CountyFIPS","AreaName","Poverty"
"1130","AR",5,47,"Franklin County, Arkansas",3854
"1131","AR",5,49,"Fulton County, Arkansas",2383
"1132","AR",5,51,"Garland County, Arkansas",19802
"1133","AR",5,53,"Grant County, Arkansas",2134
"1134","AR",5,55,"Greene County, Arkansas",7572
"1135","AR",5,57,"Hempstead County, Arkansas",5940
"1136","AR",5,59,"Hot Spring County, Arkansas",5975
"1137","AR",5,61,"Howard County, Arkansas",2910
"1138","AR",5,63,"Independence County, Arkansas",7783
"1139","AR",5,65,"Izard County, Arkansas",2663
"1140","AR",5,67,"Jackson County, Arkansas",3819
"1141","AR",5,69,"Jefferson County, Arkansas",17205
"1142","AR",5,71,"Johnson County, Arkansas",5574
"1143","AR",5,73,"Lafayette County, Arkansas",1731
"1144","AR",5,75,"Lawrence County, Arkansas",3899
"1145","AR",5,77,"Lee County, Arkansas",2304
"1146","AR",5,79,"Lincoln County, Arkansas",2257
"1147","AR",5,81,"Little River County, Arkansas",2402
"1148","AR",5,83,"Logan County, Arkansas",4158
"1149","AR",5,85,"Lonoke County, Arkansas",8697
"1150","AR",5,87,"Madison County, Arkansas",3183
"1151","AR",5,89,"Marion County, Arkansas",3064
"1152","AR",5,91,"Miller County, Arkansas",8594
"1153","AR",5,93,"Mississippi County, Arkansas",11781
"1154","AR",5,95,"Monroe County, Arkansas",2501
"1155","AR",5,97,"Montgomery County, Arkansas",1620
"1156","AR",5,99,"Nevada County, Arkansas",2424
"1157","AR",5,101,"Newton County, Arkansas",1637
"1158","AR",5,103,"Ouachita County, Arkansas",5948
"1159","AR",5,105,"Perry County, Arkansas",1624
"1160","AR",5,107,"Phillips County, Arkansas",6882
"1161","AR",5,109,"Pike County, Arkansas",2199
"1162","AR",5,111,"Poinsett County, Arkansas",5416
"1163","AR",5,113,"Polk County, Arkansas",4878
"1164","AR",5,115,"Pope County, Arkansas",11818
"1165","AR",5,117,"Prairie County, Arkansas",1766
"1166","AR",5,119,"Pulaski County, Arkansas",67908
"1167","AR",5,121,"Randolph County, Arkansas",3651
"1168","AR",5,123,"St. Francis County, Arkansas",5857
"1169","AR",5,125,"Saline County, Arkansas",10176
"1170","AR",5,127,"Scott County, Arkansas",2165
"1171","AR",5,129,"Searcy County, Arkansas",1855
"1172","AR",5,131,"Sebastian County, Arkansas",28975
"1173","AR",5,133,"Sevier County, Arkansas",3755
"1174","AR",5,135,"Sharp County, Arkansas",3944
"1175","AR",5,137,"Stone County, Arkansas",3042
"1176","AR",5,139,"Union County, Arkansas",8172
"1177","AR",5,141,"Van Buren County, Arkansas",3574
"1178","AR",5,143,"Washington County, Arkansas",41846
"1179","AR",5,145,"White County, Arkansas",14175
"1180","AR",5,147,"Woodruff County, Arkansas",1612
"1181","AR",5,149,"Yell County, Arkansas",4009
"1761","AZ",4,1,"Apache County, Arizona",25852
"1762","AZ",4,3,"Cochise County, Arizona",21102
"1763","AZ",4,5,"Coconino County, Arizona",28824
"1764","AZ",4,7,"Gila County, Arizona",11839
"1765","AZ",4,9,"Graham County, Arizona",7446
"1766","AZ",4,11,"Greenlee County, Arizona",1215
"1767","AZ",4,12,"La Paz County, Arizona",3824
"1768","AZ",4,13,"Maricopa County, Arizona",673527
"1769","AZ",4,15,"Mohave County, Arizona",38874
"1770","AZ",4,17,"Navajo County, Arizona",32141
"1771","AZ",4,19,"Pima County, Arizona",187250
"1772","AZ",4,21,"Pinal County, Arizona",63201
"1773","AZ",4,23,"Santa Cruz County, Arizona",10970
"1774","AZ",4,25,"Yavapai County, Arizona",34117
"1775","AZ",4,27,"Yuma County, Arizona",40508
"2259","CA",6,1,"Alameda County, California",194639
"2260","CA",6,3,"Alpine County, California",195
"2261","CA",6,5,"Amador County, California",4191
"2262","CA",6,7,"Butte County, California",47532
"2263","CA",6,9,"Calaveras County, California",5590
"2264","CA",6,11,"Colusa County, California",3171
"2265","CA",6,13,"Contra Costa County, California",117915
"2266","CA",6,15,"Del Norte County, California",5207
"2267","CA",6,17,"El Dorado County, California",18831
"2268","CA",6,19,"Fresno County, California",252187
"2269","CA",6,21,"Glenn County, California",5721
"2270","CA",6,23,"Humboldt County, California",28158
"2271","CA",6,25,"Imperial County, California",40114
"2272","CA",6,27,"Inyo County, California",2019
"2273","CA",6,29,"Kern County, California",195744
"2274","CA",6,31,"Kings County, California",29900
"2275","CA",6,33,"Lake County, California",15597
"2276","CA",6,35,"Lassen County, California",3563
"2277","CA",6,37,"Los Angeles County, California",1800265
"2278","CA",6,39,"Madera County, California",33968
"2279","CA",6,41,"Marin County, California",20964
"2280","CA",6,43,"Mariposa County, California",2651
"2281","CA",6,45,"Mendocino County, California",17527
"2282","CA",6,47,"Merced County, California",67417
"2283","CA",6,49,"Modoc County, California",1673
"2284","CA",6,51,"Mono County, California",684
"2285","CA",6,53,"Monterey County, California",69475
"2286","CA",6,55,"Napa County, California",14020
"2287","CA",6,57,"Nevada County, California",12367
"2288","CA",6,59,"Orange County, California",395483
"2289","CA",6,61,"Placer County, California",32427
"2290","CA",6,63,"Plumas County, California",2687
"2291","CA",6,65,"Riverside County, California",379985
"2292","CA",6,67,"Sacramento County, California",262251
"2293","CA",6,69,"San Benito County, California",6202
"2294","CA",6,71,"San Bernardino County, California",397766
"2295","CA",6,73,"San Diego County, California",454876
"2296","CA",6,75,"San Francisco County, California",109524
"2297","CA",6,77,"San Joaquin County, California",129390
"2298","CA",6,79,"San Luis Obispo County, California",38630
"2299","CA",6,81,"San Mateo County, California",59232
"2300","CA",6,83,"Santa Barbara County, California",68017
"2301","CA",6,85,"Santa Clara County, California",175690
"2302","CA",6,87,"Santa Cruz County, California",39053
"2303","CA",6,89,"Shasta County, California",31707
"2304","CA",6,91,"Sierra County, California",438
"2305","CA",6,93,"Siskiyou County, California",10026
"2306","CA",6,95,"Solano County, California",55534
"2307","CA",6,97,"Sonoma County, California",57179
"2308","CA",6,99,"Stanislaus County, California",105927
"2309","CA",6,101,"Sutter County, California",16743
"2310","CA",6,103,"Tehama County, California",12313
"2311","CA",6,105,"Trinity County, California",2562
"2312","CA",6,107,"Tulare County, California",125775
"2313","CA",6,109,"Tuolumne County, California",7010
"2314","CA",6,111,"Ventura County, California",91880
"2315","CA",6,113,"Yolo County, California",39688
"2316","CA",6,115,"Yuba County, California",15862
"3938","CO",8,1,"Adams County, Colorado",64241
"3939","CO",8,3,"Alamosa County, Colorado",4396
"3940","CO",8,5,"Arapahoe County, Colorado",67679
"3941","CO",8,7,"Archuleta County, Colorado",1405
"3942","CO",8,9,"Baca County, Colorado",736
"3943","CO",8,11,"Bent County, Colorado",923
"3944","CO",8,13,"Boulder County, Colorado",42167
"3945","CO",8,14,"Broomfield County, Colorado",3930
"3946","CO",8,15,"Chaffee County, Colorado",1502
"3947","CO",8,17,"Cheyenne County, Colorado",168
"3948","CO",8,19,"Clear Creek County, Colorado",748
"3949","CO",8,21,"Conejos County, Colorado",1491
"3950","CO",8,23,"Costilla County, Colorado",850
"3951","CO",8,25,"Crowley County, Colorado",1449
"3952","CO",8,27,"Custer County, Colorado",736
"3953","CO",8,29,"Delta County, Colorado",4716
"3954","CO",8,31,"Denver County, Colorado",110299
"3955","CO",8,33,"Dolores County, Colorado",398
"3956","CO",8,35,"Douglas County, Colorado",12110
"3957","CO",8,37,"Eagle County, Colorado",4780
"3958","CO",8,39,"Elbert County, Colorado",1649
"3959","CO",8,41,"El Paso County, Colorado",75033
"3960","CO",8,43,"Fremont County, Colorado",6272
"3961","CO",8,45,"Garfield County, Colorado",6786
"3962","CO",8,47,"Gilpin County, Colorado",413
"3963","CO",8,49,"Grand County, Colorado",1543
"3964","CO",8,51,"Gunnison County, Colorado",2509
"3965","CO",8,53,"Hinsdale County, Colorado",70
"3966","CO",8,55,"Huerfano County, Colorado",1171
"3967","CO",8,57,"Jackson County, Colorado",155
"3968","CO",8,59,"Jefferson County, Colorado",46423
"3969","CO",8,61,"Kiowa County, Colorado",189
"3970","CO",8,63,"Kit Carson County, Colorado",1157
"3971","CO",8,65,"Lake County, Colorado",833
"3972","CO",8,67,"La Plata County, Colorado",5432
"3973","CO",8,69,"Larimer County, Colorado",42338
"3974","CO",8,71,"Las Animas County, Colorado",2055
"3975","CO",8,73,"Lincoln County, Colorado",624
"3976","CO",8,75,"Logan County, Colorado",3529
"3977","CO",8,77,"Mesa County, Colorado",22545
"3978","CO",8,79,"Mineral County, Colorado",56
"3979","CO",8,81,"Moffat County, Colorado",1462
"3980","CO",8,83,"Montezuma County, Colorado",4550
"3981","CO",8,85,"Montrose County, Colorado",7644
"3982","CO",8,87,"Morgan County, Colorado",3218
"3983","CO",8,89,"Otero County, Colorado",4396
"3984","CO",8,91,"Ouray County, Colorado",355
"3985","CO",8,93,"Park County, Colorado",1170
"3986","CO",8,95,"Phillips County, Colorado",658
"3987","CO",8,97,"Pitkin County, Colorado",1709
"3988","CO",8,99,"Prowers County, Colorado",2264
"3989","CO",8,101,"Pueblo County, Colorado",31017
"3990","CO",8,103,"Rio Blanco County, Colorado",1113
"3991","CO",8,105,"Rio Grande County, Colorado",2198
"3992","CO",8,107,"Routt County, Colorado",2369
"3993","CO",8,109,"Saguache County, Colorado",1450
"3994","CO",8,111,"San Juan County, Colorado",100
"3995","CO",8,113,"San Miguel County, Colorado",854
"3996","CO",8,115,"Sedgwick County, Colorado",335
"3997","CO",8,117,"Summit County, Colorado",3949
"3998","CO",8,119,"Teller County, Colorado",1728
"3999","CO",8,121,"Washington County, Colorado",466
"4000","CO",8,123,"Weld County, Colorado",34007
"4001","CO",8,125,"Yuma County, Colorado",1451
"4495","CT",9,1,"Fairfield County, Connecticut",82743
"4496","CT",9,3,"Hartford County, Connecticut",104196
"4497","CT",9,5,"Litchfield County, Connecticut",12893
"4498","CT",9,7,"Middlesex County, Connecticut",10710
"4499","CT",9,9,"New Haven County, Connecticut",108533
"4500","CT",9,11,"New London County, Connecticut",25766
"4501","CT",9,13,"Tolland County, Connecticut",9511
"4502","CT",9,15,"Windham County, Connecticut",11999
"4662","DC",11,1,"District of Columbia, District of Columbia",110365
"4673","DE",10,1,"Kent County, Delaware",22074
"4674","DE",10,3,"New Castle County, Delaware",60487
"4675","DE",10,5,"Sussex County, Delaware",25754
"4769","FL",12,1,"Alachua County, Florida",58203
"4770","FL",12,3,"Baker County, Florida",4393
"4771","FL",12,5,"Bay County, Florida",26235
"4772","FL",12,7,"Bradford County, Florida",4896
"4773","FL",12,9,"Brevard County, Florida",76460
"4774","FL",12,11,"Broward County, Florida",265880
"4775","FL",12,13,"Calhoun County, Florida",2407
"4776","FL",12,15,"Charlotte County, Florida",19760
"4777","FL",12,17,"Citrus County, Florida",23903
"4778","FL",12,19,"Clay County, Florida",20580
"4779","FL",12,21,"Collier County, Florida",47436
"4780","FL",12,23,"Columbia County, Florida",12498
"4781","FL",12,27,"DeSoto County, Florida",10123
"4782","FL",12,29,"Dixie County, Florida",3061
"4783","FL",12,31,"Duval County, Florida",150792
"4784","FL",12,33,"Escambia County, Florida",45308
"4785","FL",12,35,"Flagler County, Florida",14814
"4786","FL",12,37,"Franklin County, Florida",1977
"4787","FL",12,39,"Gadsden County, Florida",11907
"4788","FL",12,41,"Gilchrist County, Florida",3598
"4789","FL",12,43,"Glades County, Florida",2408
"4790","FL",12,45,"Gulf County, Florida",1924
"4791","FL",12,47,"Hamilton County, Florida",3234
"4792","FL",12,49,"Hardee County, Florida",7029
"4793","FL",12,51,"Hendry County, Florida",9696
"4794","FL",12,53,"Hernando County, Florida",27375
"4795","FL",12,55,"Highlands County, Florida",18863
"4796","FL",12,57,"Hillsborough County, Florida",217684
"4797","FL",12,59,"Holmes County, Florida",4903
"4798","FL",12,61,"Indian River County, Florida",20272
"4799","FL",12,63,"Jackson County, Florida",9090
"4800","FL",12,65,"Jefferson County, Florida",1862
"4801","FL",12,67,"Lafayette County, Florida",1425
"4802","FL",12,69,"Lake County, Florida",42497
"4803","FL",12,71,"Lee County, Florida",105166
"4804","FL",12,73,"Leon County, Florida",60286
"4805","FL",12,75,"Levy County, Florida",8601
"4806","FL",12,77,"Liberty County, Florida",1237
"4807","FL",12,79,"Madison County, Florida",4269
"4808","FL",12,81,"Manatee County, Florida",51595
"4809","FL",12,83,"Marion County, Florida",60207
"4810","FL",12,85,"Martin County, Florida",17965
"4811","FL",12,86,"Miami-Dade County, Florida",530006
"4812","FL",12,87,"Monroe County, Florida",9998
"4813","FL",12,89,"Nassau County, Florida",9652
"4814","FL",12,91,"Okaloosa County, Florida",24595
"4815","FL",12,93,"Okeechobee County, Florida",9965
"4816","FL",12,95,"Orange County, Florida",212489
"4817","FL",12,97,"Osceola County, Florida",58146
"4818","FL",12,99,"Palm Beach County, Florida",197340
"4819","FL",12,101,"Pasco County, Florida",66144
"4820","FL",12,103,"Pinellas County, Florida",131643
"4821","FL",12,105,"Polk County, Florida",111877
"4822","FL",12,107,"Putnam County, Florida",20397
"4823","FL",12,109,"St. Johns County, Florida",19706
"4824","FL",12,111,"St. Lucie County, Florida",52201
"4825","FL",12,113,"Santa Rosa County, Florida",19063
"4826","FL",12,115,"Sarasota County, Florida",42386
"4827","FL",12,117,"Seminole County, Florida",52637
"4828","FL",12,119,"Sumter County, Florida",10802
"4829","FL",12,121,"Suwannee County, Florida",10012
