,State,StateFIPS,CountyFIPS,AreaName,Median Income
1134,AR,5,55,"Greene County, Arkansas",41286
1135,AR,5,57,"Hempstead County, Arkansas",32122
1136,AR,5,59,"Hot Spring County, Arkansas",40000
1137,AR,5,61,"Howard County, Arkansas",34229
1138,AR,5,63,"Independence County, Arkansas",36265
1139,AR,5,65,"Izard County, Arkansas",32630
1140,AR,5,67,"Jackson County, Arkansas",31261
1141,AR,5,69,"Jefferson County, Arkansas",36747
1142,AR,5,71,"Johnson County, Arkansas",34139
1143,AR,5,73,"Lafayette County, Arkansas",31194
1144,AR,5,75,"Lawrence County, Arkansas",32379
1145,AR,5,77,"Lee County, Arkansas",28393
1146,AR,5,79,"Lincoln County, Arkansas",32580
1147,AR,5,81,"Little River County, Arkansas",36205
1148,AR,5,83,"Logan County, Arkansas",35325
1149,AR,5,85,"Lonoke County, Arkansas",53631
1150,AR,5,87,"Madison County, Arkansas",37691
1151,AR,5,89,"Marion County, Arkansas",34195
1152,AR,5,91,"Miller County, Arkansas",40317
1153,AR,5,93,"Mississippi County, Arkansas",34612
1154,AR,5,95,"Monroe County, Arkansas",27647
1155,AR,5,97,"Montgomery County, Arkansas",33037
1156,AR,5,99,"Nevada County, Arkansas",30691
1157,AR,5,101,"Newton County, Arkansas",34536
1158,AR,5,103,"Ouachita County, Arkansas",31293
1159,AR,5,105,"Perry County, Arkansas",42346
1160,AR,5,107,"Phillips County, Arkansas",26844
1161,AR,5,109,"Pike County, Arkansas",33097
1162,AR,5,111,"Poinsett County, Arkansas",33070
1163,AR,5,113,"Polk County, Arkansas",33702
1164,AR,5,115,"Pope County, Arkansas",39810
1165,AR,5,117,"Prairie County, Arkansas",35833
1166,AR,5,119,"Pulaski County, Arkansas",46140
1167,AR,5,121,"Randolph County, Arkansas",34044
1168,AR,5,123,"St. Francis County, Arkansas",32105
1169,AR,5,125,"Saline County, Arkansas",55817
1170,AR,5,127,"Scott County, Arkansas",37321
1171,AR,5,129,"Searcy County, Arkansas",33083
1172,AR,5,131,"Sebastian County, Arkansas",38575
1173,AR,5,133,"Sevier County, Arkansas",36579
1174,AR,5,135,"Sharp County, Arkansas",30691
1175,AR,5,137,"Stone County, Arkansas",29264
1176,AR,5,139,"Union County, Arkansas",38678
1177,AR,5,141,"Van Buren County, Arkansas",32312
1178,AR,5,143,"Washington County, Arkansas",43524
1179,AR,5,145,"White County, Arkansas",42554
